yourlist:M201705058A530B6CA0138AFAA6D2B97CE8C2A924D0C2A2K	Entry	Entry name	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Gene names  (ordered locus )	Gene names  (ORF )	Organism
Q9ZVJ5	Q9ZVJ5	SGGP_ARATH	Haloacid dehalogenase-like hydrolase domain-containing protein Sgpp (EC 3.1.3.-) (Subclass I phosphosugar phosphatase) (AtSgpp)	SGPP At2g38740 T6A23.6	SGPP		At2g38740	T6A23.6	Arabidopsis thaliana (Mouse-ear cress)
Q9ZV48	Q9ZV48	TPS11_ARATH	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 11 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 11) (AtTPS11)	TPS11 TPSB At2g18700 MSF3.8	TPS11	TPSB	At2g18700	MSF3.8	Arabidopsis thaliana (Mouse-ear cress)
Q9ZV43	Q9ZV43	CHR8_ARATH	Protein CHROMATIN REMODELING 8 (AtCHR8) (AtCSB) (EC 3.6.4.-)	CHR8 CSB ERCC6 RAD26 RAD54 At2g18760 MSF3.14	CHR8	CSB ERCC6 RAD26 RAD54	At2g18760	MSF3.14	Arabidopsis thaliana (Mouse-ear cress)
Q9ZUT8	Q9ZUT8	AB33G_ARATH	ABC transporter G family member 33 (ABC transporter ABCG.33) (AtABCG33) (Pleiotropic drug resistance protein 5)	ABCG33 PDR5 At2g37280 F3G5.7	ABCG33	PDR5	At2g37280	F3G5.7	Arabidopsis thaliana (Mouse-ear cress)
Q9ZUT3	Q9ZUT3	ALS3_ARATH	Protein ALUMINUM SENSITIVE 3 (ABC transporter I family member 16) (ABC transporter ABCI.16) (AtABCI16) (ybbM homolog protein)	ALS3 ABCI16 At2g37330 F3G5.12	ALS3	ABCI16	At2g37330	F3G5.12	Arabidopsis thaliana (Mouse-ear cress)
Q9ZUL3	Q9ZUL3	IDD5_ARATH	Protein indeterminate-domain 5, chloroplastic (ID1-like zinc finger protein 2)	IDD5 IDZ2 At2g02070 F5O4.16	IDD5	IDZ2	At2g02070	F5O4.16	Arabidopsis thaliana (Mouse-ear cress)
Q9ZU50	Q9ZU50	BAT1_ARATH	Amino-acid permease BAT1 (Bidirectional amino acid transporter 1) (GABA permease) (AtGABP)	BAT1 GABP At2g01170 F10A8.5	BAT1	GABP	At2g01170	F10A8.5	Arabidopsis thaliana (Mouse-ear cress)
Q9ZTW3	Q9ZTW3	VA721_ARATH	Vesicle-associated membrane protein 721 (AtVAMP721) (v-SNARE synaptobrevin 7B) (AtVAMP7B)	VAMP721 VAMP7B At1g04750 F13M7.26 F13M7_23 T1G11.1	VAMP721	VAMP7B	At1g04750	F13M7.26 F13M7_23 T1G11.1	Arabidopsis thaliana (Mouse-ear cress)
Q9ZTP3	Q9ZTP3	EIN4_ARATH	Protein EIN4 (AtEIN4) (EC 2.7.11.-) (Protein ETHYLENE INSENSITIVE 4)	EIN4 At3g04580 F7O18.5	EIN4		At3g04580	F7O18.5	Arabidopsis thaliana (Mouse-ear cress)
Q9ZTC3	Q9ZTC3	MYB90_ARATH	Transcription factor MYB90 (Myb-related protein 90) (AtMYB90) (Production of anthocyanin pigment 2 protein)	MYB90 PAP2 At1g66390 T27F4.14	MYB90	PAP2	At1g66390	T27F4.14	Arabidopsis thaliana (Mouse-ear cress)
Q9ZT50	Q9ZT50	RHA2A_ARATH	E3 ubiquitin-protein ligase RHA2A (EC 2.3.2.27) (RING-H2 finger A2a) (RING-H2 zinc finger protein RHA2a) (RING-type E3 ubiquitin transferase RHA2A)	RHA2A At1g15100 F9L1.3	RHA2A		At1g15100	F9L1.3	Arabidopsis thaliana (Mouse-ear cress)
Q9ZT46	Q9ZT46	PP16B_CUCMA	16 kDa phloem protein 2	PP16-2	PP16-2				Cucurbita maxima (Pumpkin) (Winter squash)
Q9ZT17	Q9ZT17	AGP3_ARATH	Classical arabinogalactan protein 3	AGP3 At4g40090 T5J17.1	AGP3		At4g40090	T5J17.1	Arabidopsis thaliana (Mouse-ear cress)
Q9ZSY2	Q9ZSY2	DNJ15_ARATH	Chaperone protein dnaJ 15 (AtDjB15) (AtJ15) (Protein ALTERED RESPONSE TO GRAVITY) (AtARG1)	ATJ15 ARG1 B15 At1g68370 T2E12.8	ATJ15	ARG1 B15	At1g68370	T2E12.8	Arabidopsis thaliana (Mouse-ear cress)
Q9ZSS6	Q9ZSS6	THD1_ARATH	Threonine dehydratase biosynthetic, chloroplastic (EC 4.3.1.19) (Threonine deaminase) (TD)	OMR1 At3g10050 T22K18.12	OMR1		At3g10050	T22K18.12	Arabidopsis thaliana (Mouse-ear cress)
Q9ZSL6	Q9ZSL6	SIGD_ARATH	RNA polymerase sigma factor sigD, chloroplastic (Sigma factor D) (Sigma-D) (RNA polymerase sigma factor sig4) (Atsig4) (Sigma factor 4)	SIGD SIG4 At5g13730 MSH12.20	SIGD	SIG4	At5g13730	MSH12.20	Arabidopsis thaliana (Mouse-ear cress)
Q9ZSD6	Q9ZSD6	ASPG_LUPLU	Isoaspartyl peptidase/L-asparaginase (LlA) (EC 3.4.19.5) (L-asparagine amidohydrolase) (Potassium-independent L-asparaginase) [Cleaved into: Isoaspartyl peptidase/L-asparaginase subunit alpha; Isoaspartyl peptidase/L-asparaginase subunit beta]						Lupinus luteus (European yellow lupine)
Q9ZSD4	Q9ZSD4	SY121_ARATH	Syntaxin-121 (AtSYP121) (Syntaxin-related protein At-Syr1)	SYP121 SYR1 At3g11820 F26K24.11	SYP121	SYR1	At3g11820	F26K24.11	Arabidopsis thaliana (Mouse-ear cress)
Q9ZSB5	Q9ZSB5	UBP10_ARATH	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (AtUBP10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	UBP10 At4g10570 F3H7.5 T4F9.30	UBP10		At4g10570	F3H7.5 T4F9.30	Arabidopsis thaliana (Mouse-ear cress)
Q9ZRT5	Q9ZRT5	GSTT1_ARATH	Glutathione S-transferase T1 (AtGSTT1) (EC 2.5.1.18) (GST class-theta member 1) (Glutathione S-transferase 10)	GSTT1 GST10 At5g41210 MEE6.28	GSTT1	GST10	At5g41210	MEE6.28	Arabidopsis thaliana (Mouse-ear cress)
Q9ZRE2	Q9ZRE2	RABD1_ARATH	Ras-related protein RABD1 (AtRABD1) (Ras-related protein ATFP8)	RABD1 ATFP8 At3g11730 F26K24.2	RABD1	ATFP8	At3g11730	F26K24.2	Arabidopsis thaliana (Mouse-ear cress)
Q9ZQX6	Q9ZQX6	ETOL1_ARATH	ETO1-like protein 1 (Ethylene overproducer 1-like protein 1)	EOL1 At4g02680 T10P11.24	EOL1		At4g02680	T10P11.24	Arabidopsis thaliana (Mouse-ear cress)
Q9ZQA8	Q9ZQA8	PABP7_ARATH	Polyadenylate-binding protein 7 (PABP-7) (Poly(A)-binding protein 7)	PAB7 At2g36660 F13K3.6	PAB7		At2g36660	F13K3.6	Arabidopsis thaliana (Mouse-ear cress)
Q9ZQ88	Q9ZQ88	UPS4_ARATH	Ureide permease 4 (AtUPS4)	UPS4 At2g03520 T4M8.4	UPS4		At2g03520	T4M8.4	Arabidopsis thaliana (Mouse-ear cress)
Q9ZQ70	Q9ZQ70	WRKY3_ARATH	Probable WRKY transcription factor 3 (WRKY DNA-binding protein 3)	WRKY3 At2g03340 T4M8.23	WRKY3		At2g03340	T4M8.23	Arabidopsis thaliana (Mouse-ear cress)
Q9ZPZ1	Q9ZPZ1	GAUT2_ARATH	Putative galacturonosyltransferase 2 (EC 2.4.1.-) (Like glycosyl transferase 2)	GAUT2 LGT2 At2g46480 F13A10.1	GAUT2	LGT2	At2g46480	F13A10.1	Arabidopsis thaliana (Mouse-ear cress)
Q9ZPX9	Q9ZPX9	KIC_ARATH	Calcium-binding protein KIC (KCBP-interacting calcium-binding protein)	KIC At2g46600 F13A10.13	KIC		At2g46600	F13A10.13	Arabidopsis thaliana (Mouse-ear cress)
Q9ZPV9	Q9ZPV9	SY112_ARATH	Syntaxin-112 (AtSYP112)	SYP112 At2g18260 T30D6.23	SYP112		At2g18260	T30D6.23	Arabidopsis thaliana (Mouse-ear cress)
Q9ZPQ8	Q9ZPQ8	ACR5_ARATH	ACT domain-containing protein ACR5 (Protein ACT DOMAIN REPEATS 5)	ACR5 At2g03730	ACR5		At2g03730		Arabidopsis thaliana (Mouse-ear cress)
Q9ZPE7	Q9ZPE7	EXO_ARATH	Protein EXORDIUM	EXO At4g08950 T3H13.3	EXO		At4g08950	T3H13.3	Arabidopsis thaliana (Mouse-ear cress)
Q9ZNU2	Q9ZNU2	NAC18_ARATH	NAC domain-containing protein 18 (ANAC018) (Protein NAC-REGULATED SEED MORPHOLOGY 2) (Protein NO APICAL MERISTEM) (AtNAM)	NAC018 NAM NARS2 At1g52880 F14G24.15	NAC018	NAM NARS2	At1g52880	F14G24.15	Arabidopsis thaliana (Mouse-ear cress)
Q9ZNT9	P0DKJ7	FIS2L_ARATH	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	FIS2	FIS2				Arabidopsis thaliana (Mouse-ear cress)
Q9ZNT9	P0DKJ8	FIS2C_ARATH	Polycomb group protein FERTILIZATION-INDEPENDENT SEED 2	FIS2 At2g35670 T20F21.14	FIS2		At2g35670	T20F21.14	Arabidopsis thaliana (Mouse-ear cress)
Q9ZN79	Q9ZN79	LINR_SPHPI	HTH-type transcriptional regulator LinR	linR	linR				Sphingomonas paucimobilis (Pseudomonas paucimobilis)
Q9ZHI2	Q9ZHI2	PHAC_CHRVO	Poly(3-hydroxyalkanoate) polymerase (PHA polymerase) (EC 2.3.1.-) (PHA synthase) (Polyhydroxyalkanoic acid synthase)	phaC CV_2789	phaC		CV_2789		Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / NBRC 12614 / NCIMB 9131 / NCTC 9757)
Q9ZHD3	Q9ZHD3	SILR_SALTM	Probable transcriptional regulatory protein SilR	silR	silR				Salmonella typhimurium
Q9ZG88	Q9ZG88	PODJ_CAUCR	Localization factor PodJL (Polar organelle development protein) [Cleaved into: Localization factor PodJS]	podJ CC_2045	podJ		CC_2045		Caulobacter crescentus (strain ATCC 19089 / CB15)
Q9ZAG3	Q9ZAG3	LIMA_RHOER	Limonene-1,2-epoxide hydrolase (EC 3.3.2.8)	limA	limA				Rhodococcus erythropolis (Arthrobacter picolinophilus)
Q9ZAE9	Q9ZAE9	ACBC_ACTS5	2-epi-5-epi-valiolone synthase (EEVS) (EC 4.2.3.152) (C7-cyclitol synthase) (Sedoheptulose 7-phosphate cyclase)	acbC ACPL_3680	acbC		ACPL_3680		Actinoplanes sp. (strain ATCC 31044 / CBS 674.73 / SE50/110)
Q9ZAA7	Q9ZAA7	GCDC_ACIFV	Glutaconyl-CoA decarboxylase subunit gamma (EC 4.1.1.70) (Biotin carrier)	gcdC Acfer_1835	gcdC		Acfer_1835		Acidaminococcus fermentans (strain ATCC 25085 / DSM 20731 / VR4)
Q9Z899	Q9Z899	PMP6_CHLPN	Probable outer membrane protein pmp6 (Polymorphic membrane protein 6)	pmp6 CPn_0444 CP_0309 CpB0460	pmp6		CPn_0444 CP_0309 CpB0460		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z7R4	Q9Z7R4	RL16_CHLPN	50S ribosomal protein L16	rplP rl16 CPn_0640 CP_0107 CpB0666	rplP	rl16	CPn_0640 CP_0107 CpB0666		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z7N9	Q9Z7N9	UHPT_CHLPN	Probable hexose phosphate transport protein	uhpC CPn_0665 CP_0082 CpB0691	uhpC		CPn_0665 CP_0082 CpB0691		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z6Y0	Q9Z6Y0	DSBH_CHLPN	Disulfide bond reductase DsbH (Disulfide reductase) (EC 1.8.-.-) (Protein-disulfide reductase)	dsbH CPn_0926 CP_0940 CPj0926 CpB0958	dsbH		CPn_0926 CP_0940 CPj0926 CpB0958		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z6W9	Q9Z6W9	RS14_CHLPN	30S ribosomal protein S14	rpsN rs14 CPn_0937 CP_0924 CpB0971	rpsN	rs14	CPn_0937 CP_0924 CpB0971		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z6V4	Q9Z6V4	RS18_CHLPN	30S ribosomal protein S18	rpsR rs18 CPn_0952 CP_0907 CpB0989	rpsR	rs18	CPn_0952 CP_0907 CpB0989		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z6U5	Q9Z6U5	PMP21_CHLPN	Probable outer membrane protein pmp21 (Polymorphic membrane protein 21)	pmp21 CPn_0963 CP_0897 CpB1000	pmp21		CPn_0963 CP_0897 CpB1000		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z6N1	Q9Z6N1	MDH_CHLPN	Malate dehydrogenase (EC 1.1.1.37)	mdh mdhC CPn_1028 CP_0824 CpB1067	mdh	mdhC	CPn_1028 CP_0824 CpB1067		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z426	Q9Z426	PTHP_PSEPU	Phosphocarrier protein HPr (EC 2.7.11.-) (Histidine-containing protein)	ptsH ptsO	ptsH	ptsO			Pseudomonas putida (Arthrobacter siderocapsulatus)
Q9Z3R2	Q9Z3R2	RHBA_RHIME	Diaminobutyrate--2-oxoglutarate aminotransferase (EC 2.6.1.76) (Diaminobutyrate transaminase) (L-2,4-diaminobutyrate:2-ketoglutarate 4-aminotransferase) (DABA aminotransferase) (DABA-AT) (L-diaminobutyric acid transaminase)	rhbA rhsA RA1258 SMa2400	rhbA	rhsA	RA1258	SMa2400	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)
Q9Z3D6	Q9Z3D6	PMP12_CHLPN	Probable outer membrane protein pmp12 (Outer membrane protein 13) (Polymorphic membrane protein 12)	pmp12 omp13 CPn_0452 CP_0301 CpB0469	pmp12	omp13	CPn_0452 CP_0301 CpB0469		Chlamydia pneumoniae (Chlamydophila pneumoniae)
Q9Z330	Q9Z330	DNMT1_RAT	DNA (cytosine-5)-methyltransferase 1 (Dnmt1) (EC 2.1.1.37) (DNA MTase RnoIP) (M.RnoIP) (DNA methyltransferase I) (MCMT)	Dnmt1	Dnmt1				Rattus norvegicus (Rat)
Q9Z304	Q9Z304	MYCS_MOUSE	Protein S-Myc	Mycs	Mycs				Mus musculus (Mouse)
Q9Z2T1	Q9Z2T1	KCNK7_MOUSE	Potassium channel subfamily K member 7 (Double-pore K(+) channel 3) (Neuromuscular two p domain potassium channel) (Putative potassium channel DP3)	Kcnk7 Dpkch3 Kcnk6 Kcnk8 Knot1	Kcnk7	Dpkch3 Kcnk6 Kcnk8 Knot1			Mus musculus (Mouse)
Q9Z2A9	Q9Z2A9	GGT5_MOUSE	Gamma-glutamyltransferase 5 (GGT 5) (EC 2.3.2.2) (Gamma-glutamyl leukotrienase) (GGL) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Glutathione hydrolase 5) (EC 3.4.19.13) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Gamma-glutamyltransferase 5 heavy chain; Gamma-glutamyltransferase 5 light chain]	Ggt5 Ggtla1	Ggt5	Ggtla1			Mus musculus (Mouse)
Q9Z1N0	Q9Z1N0	ACOX1_CAVPO	Peroxisomal acyl-coenzyme A oxidase 1 (AOX) (EC 1.3.3.6) (Palmitoyl-CoA oxidase)	ACOX1 PCOX1	ACOX1	PCOX1			Cavia porcellus (Guinea pig)
Q9Z1L4	Q9Z1L4	XLRS1_MOUSE	Retinoschisin (X-linked juvenile retinoschisis protein homolog)	Rs1 Rs1h Xlrs1	Rs1	Rs1h Xlrs1			Mus musculus (Mouse)
Q9Z1B5	Q9Z1B5	MD2L1_MOUSE	Mitotic spindle assembly checkpoint protein MAD2A (Mitotic arrest deficient 2-like protein 1) (MAD2-like protein 1)	Mad2l1 Mad2a	Mad2l1	Mad2a			Mus musculus (Mouse)
Q9Z0S4	Q9Z0S4	CLD13_MOUSE	Claudin-13	Cldn13	Cldn13				Mus musculus (Mouse)
Q9Z0N2	Q9Z0N2	IF2H_MOUSE	Eukaryotic translation initiation factor 2 subunit 3, Y-linked (Eukaryotic translation initiation factor 2 subunit gamma, Y-linked) (eIF-2-gamma Y) (Spermatogonial proliferation factor) (Spy)	Eif2s3y	Eif2s3y				Mus musculus (Mouse)
Q9Z0N1	Q9Z0N1	IF2G_MOUSE	Eukaryotic translation initiation factor 2 subunit 3, X-linked (Eukaryotic translation initiation factor 2 subunit gamma, X-linked) (eIF-2-gamma X)	Eif2s3x	Eif2s3x				Mus musculus (Mouse)
Q9Z0E6	Q9Z0E6	GBP2_MOUSE	Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (mGBP-2) (mGBP2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)	Gbp2	Gbp2				Mus musculus (Mouse)
Q9Z0D3	Q9Z0D3	REP3_MDV1	Para-Rep C3 (Rep3) (EC 2.7.7.-) (EC 3.1.21.-) (EC 3.6.1.3) (Replication-associated protein of non-essential DNA C3)	C3	C3				Milk vetch dwarf virus (isolate N) (MDV)
Q9YHZ5	Q9YHZ5	PIM2_DANRE	Serine/threonine-protein kinase pim-2 (EC 2.7.11.1) (Kinase pim-1)	pim2 pim1 si:dkey-83k24.1	pim2	pim1		si:dkey-83k24.1	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9YHV4	Q9YHV4	FSTA_DANRE	Follistatin-A (FS) (Activin-binding protein) (Follistatin-1) (zFst1)	fsta fst fst1 si:dkey-111k10.2 si:dkeyp-88a5.1	fsta	fst fst1		si:dkey-111k10.2 si:dkeyp-88a5.1	Danio rerio (Zebrafish) (Brachydanio rerio)
Q9YHE8	Q9YHE8	T7L1A_DANRE	Transcription factor 7-like 1-A (HMG box transcription factor 3-A) (TCF-3) (TCF-3-A) (zTcf-3) (Protein headless)	tcf7l1a hdl tcf3 tcf3a	tcf7l1a	hdl tcf3 tcf3a			Danio rerio (Zebrafish) (Brachydanio rerio)
Q9YH71	Q9YH71	VNT1B_XENLA	Homeobox protein vent1B (Xvent-1B)	vent1B vent-1B	vent1B	vent-1B			Xenopus laevis (African clawed frog)
Q9YGX5	Q9YGX5	CPEB1_DANRE	Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB-1) (Orb/CPEB-related RNA-binding protein) (Protein Zorba) (ZOR-1) (Zebrafish orb-type a)	cpeb1 zor1 zorba	cpeb1	zor1 zorba			Danio rerio (Zebrafish) (Brachydanio rerio)
Q9YGT4	Q9YGT4	HXB6B_DANRE	Homeobox protein Hox-B6b (Homeobox protein Hox-A7)	hoxb6b hoxa7	hoxb6b	hoxa7			Danio rerio (Zebrafish) (Brachydanio rerio)
Q9YGK5	Q9YGK5	COLI2_CYPCA	Pro-opiomelanocortin-2 (POMC-2) (Corticotropin-lipotropin 2) (Corticotropin-lipotropin II) (Pro-opiomelanocortin II) (POMC II) [Cleaved into: Corticotropin (Adrenocorticotropic hormone) (ACTH); Melanotropin alpha (Alpha-MSH); Corticotropin-like intermediary peptide (CLIP); Lipotropin beta (Beta-LPH); Lipotropin gamma (Gamma-LPH); Melanotropin beta (Beta-MSH); Beta-endorphin; Met-enkephalin]	pomcb	pomcb				Cyprinus carpio (Common carp)
Q9YGK4	Q9YGK4	COLI1_CYPCA	Pro-opiomelanocortin-1 (POMC-1) (Corticotropin-lipotropin 1) (Corticotropin-lipotropin I) (Pro-opiomelanocortin I) (POMC I) [Cleaved into: Corticotropin (Adrenocorticotropic hormone) (ACTH); Melanotropin alpha (Alpha-MSH); Corticotropin-like intermediary peptide (CLIP); Lipotropin beta (Beta-LPH); Lipotropin gamma (Gamma-LPH); Melanotropin beta (Beta-MSH); Beta-endorphin; Met-enkephalin]	pomca	pomca				Cyprinus carpio (Common carp)
Q9YF83	Q9YF83	RL24_AERPE	50S ribosomal protein L24	rpl24 APE_0358	rpl24		APE_0358		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YF79	Q9YF79	RNP1_AERPE	Ribonuclease P protein component 1 (RNase P component 1) (EC 3.1.26.5) (Rpp29)	rnp1 APE_0362	rnp1		APE_0362		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YEZ8	Q9YEZ8	PRIS_AERPE	DNA primase small subunit PriS (EC 2.7.7.-)	priS priA APE_0438.1	priS	priA	APE_0438.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YEY5	Q9YEY5	RL10E_AERPE	50S ribosomal protein L10e	rpl10e APE_0449	rpl10e		APE_0449		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YER2	Q9YER2	G1PDH_AERPE	Glycerol-1-phosphate dehydrogenase [NAD(P)+] (G1P dehydrogenase) (G1PDH) (Gro1PDH) (EC 1.1.1.261) (Enantiomeric glycerophosphate synthase) (sn-glycerol-1-phosphate dehydrogenase)	egsA APE_0519.1	egsA		APE_0519.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YE64	Q9YE64	TOP6B_AERPE	Type 2 DNA topoisomerase 6 subunit B (EC 5.99.1.3) (Type II DNA topoisomerase VI subunit B) (TopoVI-B)	top6B APE_0706.1	top6B		APE_0706.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YCV1	Q9YCV1	RNP2_AERPE	Ribonuclease P protein component 2 (RNase P component 2) (EC 3.1.26.5)	rnp2 APE_1161.1	rnp2		APE_1161.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YCL9	Q9YCL9	CAS4_AERPE	CRISPR-associated exonuclease Cas4 (EC 3.1.12.1)	cas4 APE_1239.1	cas4		APE_1239.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YC75	Q9YC75	RGYR2_AERPE	Reverse gyrase 2 [Includes: Helicase (EC 3.6.4.12); Topoisomerase (EC 5.99.1.3)]	rgy2 APE_1376.1	rgy2		APE_1376.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YBS7	Q9YBS7	RFCS_AERPE	Replication factor C small subunit (RFC small subunit) (Clamp loader small subunit)	rfcS APE_1522.1	rfcS		APE_1522.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YAX2	Q9YAX2	ALBA2_AERPE	DNA/RNA-binding protein Alba 2	albA2 APE_1823	albA2		APE_1823		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YAW1	Q9YAW1	ALBA1_AERPE	DNA/RNA-binding protein Alba 1	albA1 APE_1832a.1 APES060	albA1		APE_1832a.1	APES060	Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YAS4	Q9YAS4	HMDH_AERPE	3-hydroxy-3-methylglutaryl-coenzyme A reductase (HMG-CoA reductase) (EC 1.1.1.34)	hmgA APE_1869	hmgA		APE_1869		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9YAD5	Q9YAD5	TFE_AERPE	Transcription factor E (TFE) (TFIIE subunit alpha homolog) (Transcription initiation factor TFIIE)	tfe APE_2004.1	tfe		APE_2004.1		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
Q9Y9U3	Q9Y9U3	FLPA_AERPE	Fibrillarin-like rRNA/tRNA 2'-O-methyltransferase (EC 2.1.1.-)	flpA APE_2196	flpA		APE_2196		Aeropyrum pernix (strain ATCC 700893 / DSM 11879 / JCM 9820 / NBRC 100138 / K1)
